Tahun;Emas;Per_Emas;Acc_Emas;IHSG;Per_IHSG;Acc_IHSG;LQ45;Per_LQ45;Acc_LQ45;Properti;Per_Properti;Acc_Properti;Per_Inflasi;Acc_Inflasi;Per_Deposito;Acc_Deposito
2010;471000;;100%;3703.51;;100%;661.38;;100%;136.65;;100%;6.96%;100%;4%;100%
2011;555000;17.83%;117.83%;3821.99;3.20%;103.20%;673.51;1.83%;101.83%;143.55;5.05%;105.05%;3.79%;103.79%;4%;104.00%
2012;604200;8.86%;128.28%;4316.69;12.94%;116.56%;735.04;9.14%;111.14%;153.58;6.99%;112.39%;4.30%;108.25%;4%;108.16%
2013;544000;-9.96%;115.50%;4274.18;-0.98%;115.41%;711.14;-3.25%;107.52%;170.9;11.28%;125.06%;8.38%;117.32%;4%;112.49%
2014;549000;0.92%;116.56%;5226.95;22.29%;141.14%;898.58;26.36%;135.86%;181.64;6.28%;132.92%;8.36%;127.13%;4%;116.99%
2015;565000;2.91%;119.96%;4593.01;-12.13%;124.02%;792.03;-11.86%;119.75%;190.02;4.61%;139.06%;3.35%;131.39%;4%;121.67%
2016;608000;7.61%;129.09%;5296.71;15.32%;143.02%;884.62;11.69%;133.75%;194.54;2.38%;142.36%;3.02%;135.36%;4%;126.53%
2017;647000;6.41%;137.37%;6355.65;19.99%;171.61%;1,079.39;22.02%;163.20%;201.36;3.51%;147.35%;3.61%;140.25%;4%;131.59%
2018;676000;4.48%;143.52%;6194.5;-2.54%;167.26%;982.73;-8.96%;148.59%;207.35;2.97%;151.74%;3.13%;144.64%;4%;136.86%
2019;771000;14.05%;163.69%;6299.54;1.70%;170.10%;1,014.47;3.23%;153.39%;210.97;1.75%;154.39%;2.72%;148.57%;4%;142.33%
2020;965000;25.16%;204.88%;5979.07;-5.09%;161.44%;934.89;-7.84%;141.35%;213.98;1.43%;156.59%;1.68%;151.07%;4%;148.02%
2021;938000;-2.80%;199.15%;6581.48;10.08%;177.71%;931.41;-0.37%;140.83%;217.13;1.47%;158.89%;1.87%;153.89%;4%;153.95%
2022;1026000;9.38%;217.83%;6850.62;4.09%;184.98%;937.18;0.62%;141.70%;221.47;2.00%;162.07%;5.51%;162.37%;4%;160.10%
